Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,21049,23773,-2724
Volyn Oblast,14641,15638,-997
Dnipropetrovsk Oblast,34983,36409,-1426
Donetsk Oblast,17304,24984,-7680
Zhytomyr Oblast,20231,21898,-1667
Zakarpattia Oblast,7247,7747,-500
Zaporizhia Oblast,16761,18916,-2155
Ivano-Frankivsk Oblast,16578,16310,268
Kyiv Oblast,59518,32175,27343
Kirovohrad Oblast,13364,16709,-3345
Luhansk Oblast,7131,12071,-4940
Lviv Oblast,35083,33984,1099
Mykolaiv Oblast,12534,14647,-2113
Odessa Oblast,38529,29454,9075
Poltava Oblast,25659,25248,411
Rivne Oblast,18563,21037,-2474
Sumy Oblast,16979,19229,-2250
Ternopil Oblast,16232,16558,-326
Kharkiv Oblast,48296,42860,5436
Kherson Oblast,11736,13810,-2074
Khmelnytskyi Oblast,22232,22775,-543
Cherkasy Oblast,18204,20336,-2132
Chernivtsi Oblast,9627,9580,47
Chernihiv Oblast,13211,15207,-1996
Kyiv,60340,43165,17175
