Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,480,388,92
Volyn Oblast,170,230,-60
Dnipropetrovsk Oblast,2350,949,1401
Donetsk Oblast,616,598,18
Zhytomyr Oblast,454,176,278
Zakarpattia Oblast,918,559,359
Zaporizhia Oblast,1006,661,345
Ivano-Frankivsk Oblast,667,485,182
Kyiv Oblast,3358,549,2809
Kirovohrad Oblast,125,161,-36
Luhansk Oblast,313,270,43
Lviv Oblast,1031,767,264
Mykolaiv Oblast,493,527,-34
Odessa Oblast,2660,420,2240
Poltava Oblast,1803,994,809
Rivne Oblast,330,459,-129
Sumy Oblast,560,592,-32
Ternopil Oblast,1335,290,1045
Kharkiv Oblast,7090,5274,1816
Kherson Oblast,97,176,-79
Khmelnytskyi Oblast,674,202,472
Cherkasy Oblast,479,279,200
Chernivtsi Oblast,1463,462,1001
Chernihiv Oblast,105,112,-7
Kyiv,13147,7007,6140
